style,artist,title,matched,video_id,youtube_url,video_title,source,score,searched_at
House,Panico En Directo,Die Blet,yes,Z5Kbm4eKveI,https://music.youtube.com/watch?v=Z5Kbm4eKveI,DIE Blet,ytmusic,100.0,2026-09-04T01:18:37
House,Panico En Directo,El Sueño De La Sirena,yes,8AAm5wtjUkc,https://music.youtube.com/watch?v=8AAm5wtjUkc,El sueño de la sirena,ytmusic,100.0,2026-09-04T01:18:39
House,Panico En Directo,Falso Atentado,yes,KNRRSRu6yHI,https://music.youtube.com/watch?v=KNRRSRu6yHI,Falso atentado,ytmusic,100.0,2026-09-04T01:18:36
House,Panico En Directo,Por La Sombra,yes,FPw-9UPhykk,https://music.youtube.com/watch?v=FPw-9UPhykk,Por la sombra,ytmusic,100.0,2026-09-04T01:18:40
House,Paramist,Release Me (Instrumental Mix),yes,BW_m9je_tEw,https://music.youtube.com/watch?v=BW_m9je_tEw,B2 - Paramist - Release Me (Instrumental Mix),ytmusic,100.0,2026-09-04T01:09:57
House,Paramist,Release Me (Moon Mix),yes,BW_m9je_tEw,https://music.youtube.com/watch?v=BW_m9je_tEw,B2 - Paramist - Release Me (Instrumental Mix),ytmusic,88.88888888888889,2026-09-04T01:09:56
House,Paramist,Release Me (Vocal Mix),yes,Q3mj8SKV9N8,https://music.youtube.com/watch?v=Q3mj8SKV9N8,Paramist - Release Me (Vocal Mix),ytmusic,100.0,2026-09-04T01:09:55
House,Percy Filth,Show Me Your Monkey (Original Version),yes,IbgtfgKVe9M,https://music.youtube.com/watch?v=IbgtfgKVe9M,Show Me Your Monkey,ytmusic,100.0,2026-09-04T01:15:58
House,Percy Filth,Show Me Your Monkey (Punkers Cheetah Remix),yes,hUSmcS23dYo,https://music.youtube.com/watch?v=hUSmcS23dYo,Show Me Your Monkey (Punkers Cheetah Remix),ytmusic,100.0,2026-09-04T01:15:59
House,Perks Of Living Society,2 Damn Free (H.A.L.F. Boom Vocal Mix),yes,6HjRn4hehfw,https://music.youtube.com/watch?v=6HjRn4hehfw,2 Damn Free,ytmusic,100.0,2026-09-04T01:14:31
House,Perks Of Living Society,2 Damn Free (H.A.L.F. Vocal Remix),yes,6HjRn4hehfw,https://music.youtube.com/watch?v=6HjRn4hehfw,2 Damn Free,ytmusic,100.0,2026-09-04T01:14:30
House,Perks Of Living Society,2 Damn Free (P.L.S. Arena Mix),yes,rppfvzSRJxo,https://music.youtube.com/watch?v=rppfvzSRJxo,2 Damn Free (PLS Arena Edit),ytmusic,92.45283018867924,2026-09-04T01:14:28
House,Perks Of Living Society,2 Damn Free (Play Boys Cool Zone Dub),no,,,,none,0.0,2026-09-04T01:59:29
House,Praga Khan,Love Me Baby (Eurown Mix),yes,ukexiCevxng,https://music.youtube.com/watch?v=ukexiCevxng,Love Me Baby,ytmusic,100.0,2026-09-04T01:10:35
